"","belong","name","city","district","lowsalary","highsalary","experience","degree","company","companyintroduction","companyfield","companyfinancial","companymembers","tags"
"2828","suanfagongchengshidata","算法工程师","北京","西北旺",20,40,"经验5-10年","不限","中寰卫星","“六险一金；免费体检；节日福利；免费班车”","移动互联网","不需要融资","500-2000人","/大数据/机器学习/"
"2829","suanfagongchengshidata","算法工程师（深度学习）","珠海","香洲区",15,30,"经验1-3年","本科","4DAGE","“五险一金，周末双休，队友特别神”","移动互联网","B轮","50-150人","/机器学习/图像处理/"
"2830","suanfagongchengshidata","算法工程师","深圳","大冲",13,25,"经验1-3年","本科","数位科技","“14薪起,黑科技,期权奖励,福利丰厚”","移动互联网,数据服务","B轮","150-500人","/大数据弄潮儿/大牛云集/高并发/14薪起/"
"2831","suanfagongchengshidata","算法工程师（杭州）","杭州","长河",15,30,"经验3-5年","本科","紫光华智","“技术大牛 团队氛围 技术提升 六险一金”","人工智能、生活服务","不需要融资","500-2000人","/深度学习/图像处理/人工智能/"
"2832","suanfagongchengshidata","算法工程师","北京","西三旗",35,40,"经验3-5年","本科","鼎阅传媒","“季度奖金,扁平化管理,出国旅游,零食饮料”","移动互联网","不需要融资","150-500人","/大数据/数据挖掘/"
"2833","suanfagongchengshidata","算法工程师","上海","张江",20,40,"经验5-10年","本科","震坤行","“发展空间大”","电子商务","C轮","500-2000人","/人工智能/机器学习/"
"2834","suanfagongchengshidata","算法工程师","深圳","科技园",12,24,"经验3-5年","本科","大辰","“福利好,期权激励”","移动互联网","不需要融资","50-150人","/大数据/NLP/数据挖掘/数据分析/"
"2835","suanfagongchengshidata","算法工程师（音频）","广州","员村",10,20,"经验1-3年","硕士","广州市奥威亚电子科技有限公司","“年终奖，节日福利，团队活动，五险一金”","硬件,教育","上市公司","500-2000人","/建模/"
"2836","suanfagongchengshidata","算法工程师（机器学习和文档处理方向）","上海","静安区",18,30,"经验1-3年","不限","名片全能王","“技术牛人多 工作氛围好 发展空间大”","移动互联网","C轮","150-500人","/深度学习/图像处理/"
"2837","suanfagongchengshidata","算法工程师（图像拼接）","珠海","香洲区",15,25,"经验不限","本科","4DAGE","“六险一金、周末双休、学习基金、免费住宿”","移动互联网","B轮","50-150人","/图像处理/人工智能/计算机视觉/"
"2838","suanfagongchengshidata","算法工程师（重庆）","重庆","大竹林",15,30,"经验3-5年","本科","紫光华智","“技术大牛 团队氛围 技术提升 六险一金”","人工智能、生活服务","不需要融资","500-2000人","/深度学习/"
"2839","suanfagongchengshidata","算法工程师(NLP自然语言处理)","北京","四惠",30,60,"经验3-5年","本科","掌阅","“六险一金,带薪年假,交通补助,餐费补助”","移动互联网","上市公司","500-2000人","/数据挖掘/数据分析/"
"2840","suanfagongchengshidata","算法工程师","成都","武侯区",15,25,"经验3-5年","本科","Veniibot机器人","“技术好,领导好,成长快”","其他,硬件","A轮","50-150人","/人工智能/机器学习/模式识别/"
"2841","suanfagongchengshidata","算法工程师","上海","张江",20,40,"经验1-3年","本科","趣头条","“福利待遇佳，团队氛围好”","移动互联网","上市公司","500-2000人","/专项奖金/带薪年假/弹性工作/管理规范/"
"2842","suanfagongchengshidata","算法工程师（自然语言处理方向）","北京","魏公村",25,50,"经验3-5年","硕士","金证优智","“技术大牛,团队氛围好,高成长”","人工智能","A轮","15-50人","/NLP/机器学习/深度学习/"
"2843","suanfagongchengshidata","算法工程师（应届毕业生）","北京","大望路",10,20,"经验1年以下","硕士","在行","“北京户口,内部培训,领导体贴,团队融洽”","移动互联网,教育","A轮","50-150人","/Python/数据挖掘/机器学习/"
"2844","suanfagongchengshidata","算法工程师","北京","朝阳区",15,28,"经验1-3年","硕士","CloudIn","“技术大咖、期权激励、餐补、五险一金”","移动互联网,数据服务","A轮","50-150人","/机器学习/数据挖掘/"
"2845","suanfagongchengshidata","算法工程师（大数据）","北京","大兴区",20,30,"经验3-5年","本科","四达时代集团","“六险一金,餐补,带薪年假,领导好”","文化娱乐,硬件","上市公司","2000人以上","/大数据/数据挖掘/数据分析/"
