"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"277","语音算法工程师","杭州·江南","15k-30k","经验不限/本科","2天前发布","TP-LINK","硬件/不需要融资/2000人以上","“公司规模大,团队优秀,发展潜力大,丰厚年终奖”","/语音识别/"
"278","高级图像识别算法工程师","北京·魏公村","40k-70k","经验3-5年/硕士","2019-03-11","微模式","金融,信息安全/不需要融资/50-150人","“大牛带队,高度自主权,提升空间大,不缺数据”","/人工智能/机器学习/计算机视觉/模式识别/"
"279","语音信号处理算法工程师","北京·高碑店","25k-50k","经验3-5年/硕士","2019-02-27","猎户星空","移动互联网,硬件/B轮/500-2000人","“发展前景好,高薪”","/语音处理/"
"280","人工智能语音标注实习生","北京·亚运村","2k-3k","经验应届毕业生/本科","14:30发布","京东集团","电子商务,数据服务/上市公司/2000人以上","“福利待遇高，发展前景好”","/移动互联网/IT支持/"
"281","语音评测算法工程师","北京·学院路","25k-35k","经验1-3年/硕士","2天前发布","鲸航科技","移动互联网,教育/天使轮/50-150人","“地铁周边,期权池,五险一金,带薪年假”","/教育/语音识别/深度学习/模式识别/"
"282","语音交互产品经理——机票事业部(J13469)","北京·小营","20k-40k","经验3-5年/本科","10:59发布","去哪儿网","移动互联网/不需要融资/2000人以上","“16-21薪、扁平化、发展空间大”","/移动互联网/产品设计/数据分析/"
"283","语音合成算法工程师","北京·回龙观","15k-30k","经验1-3年/本科","2019-03-15","零犀科技","企业服务,数据服务/天使轮/15-50人","“创业公司，牛人带领”","/企业服务/深度学习/NLP/"
"284","语音算法工程师","北京·望京","20k-35k","经验不限/本科","11:39发布","马上金融","金融,移动互联网/不需要融资/2000人以上","“五险一金 丰厚年终奖 持牌金融公司”","/语音识别/人工智能/NLP/"
"285","智能语音-自然语言处理研究员","北京·中关村","20k-40k","经验1-3年/硕士","3天前发布","搜狗","移动互联网,数据服务/上市公司/2000人以上","“公司战略重点项目，丰富的大数据”","/工具软件/NLP/算法/数据挖掘/"
"286","藏语语音标注专员","北京·西二旗","5k-8k","经验不限/本科","2天前发布","快手","移动互联网/D轮及以上/2000人以上","“大平台”","/股票期权/弹性工作/定期体检/岗位晋升/"
"287","语音产品总监","广州·天河区","20k-40k","经验3-5年/大专","2天前发布","到鸟科技","移动互联网,其他/天使轮/50-150人","“薪酬好,福利好,氛围好”","/游戏/直播/产品设计/社交/SNS/"
"288","语音交互系统高级工程师","杭州·西溪","24k-38k","经验1-3年/硕士","2019-03-11","金科文化","移动互联网/上市公司/150-500人","“上市系；福利多多；办公环境佳”","/人工智能/机器学习/语音识别/深度学习/"
"289","语音合成科学家","北京·朝外","35k-70k","经验1-3年/硕士","2天前发布","触宝","移动互联网,数据服务/上市公司/500-2000人","“美股上市 牛人团队 亿级日活 福利待遇佳”","/语音识别/"
"290","语音算法工程师","深圳·福田区","40k-80k","经验3-5年/硕士","2019-03-11","广州市纽纶贸易有限公","移动互联网/天使轮/少于15人","“与大牛同行”","/语音处理/C++/机器学习/"
"291","语音数据处理实习生","天津·西青区","2k-3k","经验不限/本科","2019-03-05","慧言科技","移动互联网,人工智能/天使轮/15-50人","“创业团队”","/人工智能/语音识别/语音合成/"
"292","语音数据标注工程师","北京·学院路","20k-25k","经验1-3年/硕士","2天前发布","鲸航科技","移动互联网,教育/天使轮/50-150人","“期权池,全额社保公,带薪年假,地铁旁边”","/语音识别/机器学习/数据挖掘/深度学习/"
"293","AI Lab-语音算法测试开发工程师","北京·海淀区","15k-30k","经验3-5年/本科","11:30发布","好未来","移动互联网,教育/上市公司/2000人以上","“地铁周边、扁平化管理、节日礼物、交通补助”","/上市公司/领军企业/五险一金/住福计划/"
"294","G高科技事业部-语音审核","北京·中关村","5k-8k","经验1-3年/本科","09:31发布","通力互联","电子商务,企业服务/不需要融资/2000人以上","“大公司,大平台,免费早晚餐,五险一金”","/信息/"
"295","语音AI工程师","北京·北苑","20k-30k","经验3-5年/本科","2019-02-27","聆通助听","移动互联网,硬件/天使轮/少于15人","“五险一金 股票期权 定期体检 创业公司”","/算法/深度学习/语音合成/人工智能/"
"296","【海外AI招聘】深度学习语音算法","广州·番禺区","30k-60k","经验不限/硕士","2019-03-13","欢聚时代（YY Inc）","移动互联网/上市公司/2000人以上","“平台大,福利多”","/人工智能/语音合成/"
"297","语音标注实习生（人工智能训练师方向）","深圳·大冲","2k-3k","经验应届毕业生/大专","2019-03-13","追一科技","移动互联网,企业服务/B轮/150-500人","“可转正”","/编辑/审核/文案/内容/"
"298","语音聊天室运营总监","广州·棠下","15k-21k","经验3-5年/本科","2天前发布","爱拍科技","文化娱乐/D轮及以上/150-500人","“技术气氛浓烈，福利齐全，5险一金”","/团队牛掰/企业文化温馨/绩效奖金丰厚/内部孵化项目/"
"299","智能语音产品工程师","绵阳·涪城区","3k-5k","经验不限/本科","2019-02-20","四川声达创新科技有限公司","人工智能/未融资/少于15人","“双休、项目提成”","/单片机/嵌入式/智能硬件/驱动开发/"
"300","高级语音交互工程师","北京·CBD","20k-40k","经验1-3年/硕士","2019-03-06","CGTN","移动互联网/不需要融资/150-500人","“大平台 发展前景好 技术流”","/移动互联网/大数据/语音合成/语音识别/NLP/算法/"
"301","蒙语语音标注实习生","北京·西二旗","2k-3k","经验不限/本科","1天前发布","快手","移动互联网/D轮及以上/2000人以上","“蒙古语”","/股票期权/弹性工作/定期体检/岗位晋升/"
"302","语音合成科学家","上海·徐汇区","35k-70k","经验1-3年/硕士","2天前发布","触宝","移动互联网,数据服务/上市公司/500-2000人","“美股上市 牛人团队 亿级日活 福利待遇佳”","/语音识别/"
"303","语音产品助理实习生","南京·栖霞区","2k-4k","经验应届毕业生/本科","2019-03-11","地平线机器人","移动互联网,硬件/B轮/500-2000人","“平台好 福利多 有机会与技术大牛面对面”","/云计算/大数据/"
"304","语音客服","成都·武侯区","5k-10k","经验应届毕业生/不限","2019-02-28","成都欢聚游科技有限公司","移动互联网,游戏/未融资/15-50人","“五险一金”","/游戏客服/在线客服/"
"305","深度学习语音算法工程师 (MJ001670)","广州·番禺区","30k-50k","经验不限/本科","2019-03-13","欢聚时代（YY Inc）","移动互联网/上市公司/2000人以上","“平台大,机会多”","/移动互联网/语音识别/"
"306","语音产品经理-北京-00068","北京·中关村","15k-25k","经验1-3年/本科","2019-02-26","问众智能","移动互联网,硬件/不需要融资/50-150人","“优质团队 晋升空间 六险一金 午餐补助”","/汽车/用户研究/"
"307","语音直播产品经理-美拍直播","北京·海淀区","15k-30k","经验3-5年/本科","2天前发布","美图公司","移动互联网,硬件/上市公司/2000人以上","“上市公司 六险一金 团队氛围好”","/直播/社交/"
"308","人脸识别算法工程师","杭州·西湖区","20k-40k","经验3-5年/本科","11:07发布","Rokid","电子商务,移动互联网/B轮/150-500人","“五险一金,股票期权,弹性工作,人工智能”","/人工智能/深度学习/计算机视觉/图像处理/"
"309","人脸识别算法工程师【资深】（0104118）","杭州·余杭区","20k-30k","经验3-5年/硕士","09:49发布","Uni-Ubi","硬件,其他/B轮/150-500人","“大牛云集 扁平化管理 年度分红”","/智能硬件/人工智能/深度学习/图像处理/"
"310","语音交互产品经理-中国-00287","北京·中关村","15k-25k","经验3-5年/本科","2019-03-05","出门问问","移动互联网,O2O/D轮及以上/500-2000人","“谷歌风格,免费健身,餐补,年终奖金”","/项目管理/"
"311","人脸识别算法工程师","广州·琶洲","15k-25k","经验应届毕业生/硕士","18:12发布","逗号智能","移动互联网,人工智能/A轮/50-150人","“双休,六险一金,弹性工作,扁平管理”","/新零售/人工智能/深度学习/"
"312","语音产品经理","北京·望京","15k-30k","经验3-5年/本科","2019-02-26","车和家","其他/B轮/2000人以上","“领导好,办公环境好 公司前景好”","/音乐/视频/"
"313","人脸识别研发工程师","上海·漕宝路","20k-40k","经验5-10年/硕士","2天前发布","腾讯","移动互联网,游戏/上市公司/2000人以上","“发展空间大，行业前景广阔，公司福利靠谱”","/人工智能/计算机视觉/机器学习/"
"314","产品经理（集团安全方向）","上海·东外滩","15k-25k","经验1-3年/本科","15:37发布","达达-京东到家","O2O/D轮及以上/2000人以上","“大平台,机会多,领导nic”","/新零售/本地生活/产品策划/用户研究/需求分析/交互设计/"
"315","语音数据标注专员","北京·西北旺","5k-8k","经验1-3年/不限","2019-03-11","华控智加","移动互联网,人工智能/天使轮/15-50人","“人工智能”","/人工智能/"
"316","语音合成算法工程师","北京·海淀区","30k-50k","经验3-5年/硕士","1天前发布","快手","移动互联网/D轮及以上/2000人以上","“弹性工作,股票期权,精英团队,千万级用户”","/移动互联网/NLP/"
"317","安全产品岗","上海·梅园","10k-15k","经验1-3年/本科","11:43发布","达达-京东到家","O2O/D轮及以上/2000人以上","“五险一金 弹性工作时间”","/电商/物流/产品设计/用户研究/"
"318","技术产品经理- 人脸识别算法","北京·西北旺","25k-50k","经验3-5年/本科","20:08发布","Aibee","移动互联网,企业服务/A轮/150-500人","“带薪年假 商业保险”","/智能硬件/数据分析/产品设计/"
"319","语音技术产品经理-北京-00791","北京·中关村","15k-30k","经验3-5年/本科","2019-03-05","出门问问","移动互联网,O2O/D轮及以上/500-2000人","“AI独角兽,谷歌风格,工程师文化,弹性工时”","/产品设计/"
"320","车联网事业部_车载语音DSP架构工程师","深圳·深圳湾","45k-90k","经验5-10年/本科","10:44发布","百度","移动互联网,数据服务/不需要融资/2000人以上","“大平台,大咖,前沿技术”","/其他/"
"321","深度学习语音算法","上海·淮海路","20k-40k","经验1-3年/硕士","2019-03-13","欢聚时代（YY Inc）","移动互联网/上市公司/2000人以上","“上市互联网,人工智能,六险一金,大平台”","/模式识别/"
"322","深度学习算法工程师","杭州·西溪","16k-32k","经验不限/硕士","09:38发布","ZOOM","移动互联网,社交网络/D轮及以上/500-2000人","“股票期权,国外工作,高速发展,弹性工作”","/视频/机器学习/NLP/"
"323","高级PHP开发工程师","武汉·东湖新技术开发区","15k-25k","经验1-3年/本科","11:04发布","微派","社交网络/B轮/50-150人","“团队年轻，技术门槛高，工作氛围好”","/服务器端/"
"324","项目经理","北京·东城区","15k-25k","经验3-5年/本科","2天前发布","玩吧","移动互联网,社交网络/B轮/150-500人","“七险一金,弹性不打卡,免费午餐,季度旅游”","/项目管理/PMP/"
"325","策略产品经理","北京·石佛营","15k-30k","经验3-5年/本科","13:29发布","VIPKID","教育/D轮及以上/2000人以上","“团队氛围好、发展空间大”","/用户研究/"
"326","算法工程师（图像识别）","深圳·福田区","15k-30k","经验3-5年/硕士","2天前发布","平安产险","移动互联网,金融/上市公司/2000人以上","“大平台,专业团队,高福利”","/人工智能/图像处理/"
"327","Java开发工程师","深圳·南山区","20k-40k","经验5-10年/本科","18:48发布","商汤科技","移动互联网/C轮/2000人以上","“绩效奖金，弹性工作，人工智能”","/后端/"
"328","系统架构师","广州·元岗","25k-40k","经验10年以上/本科","18:44发布","明动软件","企业服务,数据服务/不需要融资/150-500人","“五险一金,周末双休,年终多薪”","/技术管理/高级技术管理/"
