"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"27","深度学习工程师","广州·员村","10k-20k","经验1-3年/本科","09:56发布","造就科技","移动互联网/A轮/150-500人","“早九晚六 五险一金 福利佳”","/新零售/人工智能/机器学习/算法/"
"28","机器学习／深度学习","上海·杨浦区","18k-35k","经验3-5年/本科","1天前发布","千寻位置","移动互联网/不需要融资/150-500人","“阿里系平台 发展前景广阔”","/节日礼物/股票期权/带薪年假/绩效奖金/"
"29","深度学习/计算机视觉研究员","北京·五道口","20k-40k","经验3-5年/本科","2天前发布","商汤科技","移动互联网/C轮/2000人以上","“大牛云集；扁平管理；带薪年假”","/人工智能/算法/"
"30","深度学习研究员","厦门·思明区","10k-20k","经验不限/本科","17:35发布","唯你网","企业服务,移动互联网/A轮/500-2000人","“落户厦门,六险一金,AI大团队,专家云集”","/Python/算法/机器学习/"
"31","深度学习算法工程师实习生","北京·朝阳区","6k-7k","经验应届毕业生/大专","2天前发布","平安科技","金融/不需要融资/2000人以上","“全年技术交流不间断”","/人工智能/"
"32","深度学习/计算机视觉算法开发工程师","北京·五道口","20k-40k","经验3-5年/本科","2天前发布","商汤科技","移动互联网/C轮/2000人以上","“大牛云集；扁平管理；带薪年假”","/五险一金/弹性工作/丰盛三餐/发展空间大/"
"33","深度学习工程师","北京·工体","20k-40k","经验1-3年/本科","1天前发布","百炼智能","移动互联网,人工智能/天使轮/15-50人","“团队技术强,氛围好”","/人工智能/机器学习/"
"34","深度学习工程师","上海·长宁区","25k-50k","经验3-5年/本科","2天前发布","拼多多","电子商务,移动互联网/上市公司/2000人以上","“发展快,薪酬给力,包三餐,上市公司”","/图像处理/计算机视觉/算法/"
"35","机器学习/深度学习/算法工程师","武汉·洪山区","8k-16k","经验3-5年/本科","15:43发布","有点","移动互联网,数据服务/未融资/15-50人","“工作氛围好,周末双休,良好的环境”","/"
"36","机器学习/深度学习/算法工程师","福州·铜盘","10k-15k","经验不限/本科","15:25发布","顶点软件","移动互联网,企业服务/不需要融资/500-2000人","“六险一金,餐补体检等,员工旅游,丰厚年终奖”","/大数据/"
"37","深度学习工程师","上海·江苏路地铁","14k-24k","经验不限/硕士","2天前发布","WESTWELLlab西井科技","数据服务,硬件/B轮/50-150人","“全球顶尖神经形态团队+一线薪酬福利”","/技能培训/股票期权/带薪年假/绩效奖金/"
"38","深度学习系统工程师","上海·徐家汇","25k-50k","经验1-3年/硕士","2019-03-15","媒智科技","移动互联网/A轮/15-50人","“股权激励,人性化,氛围好,发展空间”","/人工智能/机器学习/图像处理/"
"39","深度学习-算法团队负责人","广州·越秀区","50k-80k","经验3-5年/本科","2019-03-12","筷子科技","数据服务,广告营销/B轮/50-150人","“人工智能,产品牛,前景好,氛围活跃”","/人工智能/机器学习/"
"40","深度学习算法工程师","杭州·西溪","16k-32k","经验不限/硕士","09:38发布","ZOOM","移动互联网,社交网络/D轮及以上/500-2000人","“股票期权,国外工作,高速发展,弹性工作”","/视频/机器学习/NLP/"
"41","深度学习研发工程师","广州·黄埔区","12k-20k","经验1-3年/本科","15:52发布","多益网络","移动互联网,游戏/不需要融资/500-2000人","“隶属公司研究院，直接向公司副总汇报工作”","/算法/"
"42","机器学习/深度学习工程师","杭州·西湖区","15k-30k","经验不限/硕士","2天前发布","百世物流","移动互联网,O2O/D轮及以上/2000人以上","“海量数据环境 成长空间大 弹性工作”","/建模/算法/数据挖掘/"
"43","深度学习研究员","广州·官洲","25k-50k","经验5-10年/本科","2019-03-08","文远知行","移动互联网,企业服务/A轮/150-500人","“高薪酬；三餐全包；业内大牛；人工智能”","/人工智能/"
"44","深度学习研究员-AI平台-北京-01140","北京·北太平庄","20k-40k","经验5-10年/硕士","13:44发布","同盾科技","信息安全,数据服务/C轮/500-2000人","“技术大牛,扁平管理,丰厚奖金,年底15薪”","/人工智能/算法/"
"45","深度学习优化","杭州·西溪","20k-30k","经验1-3年/硕士","2019-03-08","涂鸦智能","移动互联网,硬件/C轮/500-2000人","“氛围轻松,行业前景好,弹性工作,精英团队”","/图像处理/算法/"
"46","深度学习研发工程师","上海·徐汇区","20k-40k","经验不限/硕士","2天前发布","商汤科技","移动互联网/C轮/2000人以上","“深入研究”","/五险一金/弹性工作/丰盛三餐/发展空间大/"
"47","深度学习方案工程师","北京·海淀区","20k-40k","经验不限/本科","2019-03-13","寒武纪科技","硬件,数据服务/A轮/50-150人","“弹性工作时间 年终奖 五险一金”","/股票期权/午餐补助/带薪年假/定期体检/"
