"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"410","视觉设计师","上海·徐汇区","8k-10k","经验1-3年/大专","1天前发布","杭州云隐贸易有限公司","电子商务/不需要融资/50-150人","“环境佳,待遇优,老板好”","/电商/创意/"
"411","视觉设计师","上海·古北","13k-20k","经验3-5年/不限","2019-03-11","天鲜配","移动互联网/未融资/50-150人","“福利待遇佳 发展前景好”","/电商/新零售/"
"412","视觉设计师-市场营销部(J13596)","北京·中关村","15k-25k","经验3-5年/本科","2019-03-15","去哪儿网","移动互联网/不需要融资/2000人以上","“氛围好”","/电商/旅游/UI/"
"413","视觉设计师/专家","杭州·西溪","20k-30k","经验1-3年/本科","2019-03-14","阿里口碑","移动互联网,O2O/不需要融资/2000人以上","“高薪，阿里平台，期权奖励，带薪年假”","/本地生活/创意/电商美工/品牌/"
"414","视觉设计","北京·朝阳区","15k-20k","经验1-3年/本科","2019-03-06","凯叔讲故事","移动互联网,教育/B轮/150-500人","“福利、发展”","/美工/"
"415","算法工程师机器学习方向","上海·静安区","20k-35k","经验3-5年/本科","15:03发布","瑞小云","移动互联网/不需要融资/15-50人","“五险一金、绩效奖金、年终多薪、年度旅游。”","/大数据/深度学习/数据挖掘/"
"416","视觉算法工程师","北京·北京大学","15k-30k","经验3-5年/硕士","09:59发布","MINIEYE","硬件,其他/A轮/150-500人","“无人驾驶,海归团队,车厂合作,扁平化管理”","/软件开发/"
"417","视觉设计师","北京·车公庄","10k-20k","经验不限/不限","2019-03-07","柠檬微趣","移动互联网,游戏/上市公司/150-500人","“大牛多,平台成长快,公司福利好,自由管理”","/游戏/平面/"
"418","机器学习/数据挖掘工程师","北京·西二旗","15k-30k","经验1-3年/本科","13:50发布","百度","移动互联网,数据服务/不需要融资/2000人以上","“年底双薪，带薪年假，专人培养，技术氛围好”","/C++/Linux/Unix/后端/Python/"
"419","机器学习算法工程师-推荐算法方向","北京·亮马桥","25k-40k","经验3-5年/硕士","11:57发布","北京超盟数据科技有限公司","数据服务,企业服务/A轮/50-150人","“六险一金，周末双休，弹性考勤，发展空间大”","/企业服务/建模/"
"420","计算机视觉研究员","北京·酒仙桥","25k-50k","经验1-3年/博士","2019-03-12","周同科技","移动互联网,数据服务/A轮/50-150人","“年底双薪、带薪年假、扁平化管理”","/图像处理/视频算法/机器学习/"
"421","算法工程师机器学习方向","苏州·独墅湖","20k-35k","经验3-5年/本科","15:03发布","瑞小云","移动互联网/不需要融资/15-50人","“五险一金、绩效奖金、年终多薪、年度旅游。”","/大数据/深度学习/数据挖掘/"
"422","视觉算法工程师","北京·衙门口","25k-50k","经验3-5年/本科","17:55发布","易盟天地","移动互联网/D轮及以上/500-2000人","“待遇好，福利好”","/C++/"
"423","机器学习算法工程师","武汉·中北路","16k-32k","经验1-3年/本科","10:26发布","武汉掌中宝","移动互联网,游戏/未融资/150-500人","“项目前景好,公司氛围好,高薪”","/数据挖掘/数据分析/"
"424","机器学习算法工程师-反作弊","北京·海淀区","6k-8k","经验不限/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“弹性工作，免费三餐，租房补贴，休闲下午茶”","/后端开发/"
"425","机器人系统软件工程师","北京·中关村","14k-28k","经验1-3年/本科","1天前发布","阿丘科技","企业服务,硬件/A轮/50-150人","“清华系企业,大牛众多,福利好,技术氛围好”","/C/C++/"
"426","机器学习算法工程师（19届）","北京·望京","12k-24k","经验应届毕业生/本科","2天前发布","陌陌","社交网络/上市公司/500-2000人","“每日下午茶,舒适的环境,可爱的伙伴”","/社交/移动互联网/"
"427","机器学习算法工程师","上海·长宁区","30k-50k","经验3-5年/本科","2天前发布","拼多多","电子商务,移动互联网/上市公司/2000人以上","“Top薪资,快速发展,扁平化管理”","/电商/"
"428","机器人轨迹规划算法工程师","北京·西北旺","25k-40k","经验3-5年/硕士","2019-03-13","旷视科技","移动互联网,硬件/C轮/500-2000人","“极客公司 AI团队”","/科技大牛公司/自助三餐/年终多薪/超长带薪假期/"
"429","视觉算法工程师","北京·魏公村","20k-40k","经验3-5年/本科","14:55发布","智汇一品集团","电子商务移动互联网/B轮/150-500人","“集团公司，股权激励，发展前景好”","/工具软件/移动互联网/深度学习/NLP/计算机视觉/图像处理/"
"430","电商视觉设计师","深圳·前海","10k-20k","经验3-5年/本科","10:34发布","极光","移动互联网,数据服务/上市公司/500-2000人","“大数据平台，攻城狮氛围，弹性工作”","/平面/广告/网页/"
"431","美团外卖配送-机器学习资深专家（预估方向）","北京·望京","40k-70k","经验5-10年/本科","2天前发布","美团点评","移动互联网,O2O/上市公司/2000人以上","“核心业务 优秀团队 弹性工作 发展空间”","/深度学习/人工智能/数据挖掘/算法/"
"432","视觉设计师","深圳·白石洲","15k-25k","经验5-10年/本科","2019-03-05","小黄狗环保科技有限公...","移动互联网,生活服务/D轮及以上/2000人以上","“特色福利,高于同行薪”","/平面/"
"433","视觉设计师 (MJ000326)","深圳·白石洲","10k-18k","经验1-3年/本科","2019-03-05","中腾信","金融/不需要融资/2000人以上","“年终奖丰富,六险一金 团队NICE”","/互联网金融/创意/UE/UI/"
"434","机器学习工程师","上海·浦东新区","15k-30k","经验1-3年/本科","14:27发布","斗象科技","信息安全/B轮/50-150人","“行业人脉,多元福利,期权激励,年底双薪”","/信息安全/移动互联网/Spark/算法/数据挖掘/"
"435","机器学习工程师","上海·周家嘴路","20k-40k","经验1-3年/硕士","10:52发布","微创","移动互联网,电子商务/不需要融资/2000人以上","“车联网,电商,500强”","/电商/移动互联网/建模/算法/"
"436","美团外卖配送-机器学习资深专家（定价方向）","北京·望京","40k-70k","经验5-10年/本科","2天前发布","美团点评","移动互联网,O2O/上市公司/2000人以上","“核心业务 优秀团队 弹性工作 发展空间”","/深度学习/算法/数据挖掘/人工智能/"
"437","视觉算法研究员","深圳·科技园","20k-40k","经验不限/硕士","09:59发布","MINIEYE","硬件,其他/A轮/150-500人","“无人驾驶,车厂合作,扁平化管理,股票期权”","/机器学习/深度学习/图像处理/"
"438","资深视觉设计师","深圳·大冲","20k-25k","经验3-5年/本科","09:18发布","小黄狗环保科技有限公...","移动互联网,生活服务/D轮及以上/2000人以上","“空间大，牛人多，环境好”","/本地生活/移动互联网/平面/"
"439","机器学习/数据挖掘工程师","北京·西北旺","18k-30k","经验3-5年/本科","2天前发布","百度","移动互联网,数据服务/不需要融资/2000人以上","“福利待遇好”","/Linux/Unix/Python/C++/"
"440","视觉设计师","北京·朝阳区","10k-15k","经验3-5年/本科","2019-02-22","爱卡汽车","移动互联网,社交网络/不需要融资/500-2000人","“六险一金、带薪年假、全薪病假、办公环境棒”","/广告/"
"441","视觉设计师","珠海·白蕉","4k-6k","经验1-3年/大专","2019-02-22","南方IT学院","移动互联网,教育/不需要融资/150-500人","“双休、班车”","/教育/媒体/"
"442","资深视觉设计师","北京·西北旺","15k-30k","经验5-10年/本科","19:18发布","OKCoin","移动互联网,金融/B轮/500-2000人","“区块链技术，行业风口”","/节日礼物/年度旅游/扁平管理/领导好/"
"443","资深视觉设计师","深圳·南山区","10k-20k","经验3-5年/本科","18:43发布","优乐学科技","移动互联网,教育/B轮/150-500人","“腾讯系,氛围轻松,弹性工作,互联网”","/移动互联网/品牌/"
"444","机器学习算法专家","北京·学院路","40k-60k","经验5-10年/本科","18:04发布","神策数据","数据服务/C轮/150-500人","“具备技术挑战、海量数据的数据分析底层架构”","/深度学习/搜索/推荐/NLP/"
"445","视觉算法工程师（深度学习方向）","合肥·高新区","15k-25k","经验1-3年/硕士","17:45发布","图麟科技","移动互联网,硬件/A轮/50-150人","“AI工程师 技术大牛多”","/人工智能/计算机视觉/"
"446","视觉算法工程师","上海·天山路","20k-40k","经验1-3年/硕士","17:34发布","泰为","移动互联网/上市公司/150-500人","“外资上市,车载导航,福利完善,出国机会”","/管理规范/平等自由/持续创新/行业前端/"
"447","资深视觉设计师","杭州·古墩路","10k-20k","经验3-5年/大专","16:27发布","婚礼纪","移动互联网,O2O/C轮/500-2000人","“六险一金,双休,扁平化结构”","/电商/"
"448","风控-机器学习","上海·张江","8k-15k","经验1-3年/本科","09:45发布","交行信用卡中心","金融/上市公司/2000人以上","“平台好,国企,氛围好,福利好”","/建模/算法/深度学习/"
"449","计算机视觉实习生","北京·望京","4k-5k","经验应届毕业生/不限","2天前发布","陌陌","社交网络/上市公司/500-2000人","“技术氛围浓”","/深度学习/图像处理/"
"450","天天P图视觉设计师（上海）","上海·漕河泾","20k-30k","经验1-3年/本科","2天前发布","腾讯","移动互联网,游戏/上市公司/2000人以上","“项目有趣,有挑战,有成就感,大厂资源”","/UI/"
