"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"98","图像处理算法研究员","北京·学院路","20k-30k","经验3-5年/本科","2019-03-07","寒武纪科技","硬件,数据服务/A轮/50-150人","“六险一金、平台好”","/人工智能/"
"99","图像处理工程师","北京·朝阳区","20k-35k","经验3-5年/本科","2天前发布","镁佳","其他/天使轮/50-150人","“六险一金、周末双休、年底双薪、发展空间大”","/绩效奖金/带薪年假/专项奖金/"
"100","图像处理开发工程师（技术）","北京·望京","15k-30k","经验不限/不限","2019-03-15","一起科技","移动互联网,教育/D轮及以上/500-2000人","“绩效奖金,带薪年假”","/教育/前端开发/"
"101","图像处理工程师","深圳·益田村","10k-15k","经验不限/本科","2019-03-13","显扬科技","人工智能/A轮/15-50人","“免费零食，股票期权，领导nice，大牛多”","/计算机视觉/模式识别/算法/"
"102","图像分析工程师","杭州·滨江区","15k-25k","经验1-3年/本科","11:56发布","知衣科技","移动互联网电子商务/A轮/50-150人","“股权激励,大牛团队,高薪,弹性工作”","/深度学习/计算机视觉/图像处理/"
"103","资深移动端图像处理工程师","上海·复旦大学","25k-50k","经验5-10年/本科","1天前发布","哔哩哔哩","移动互联网,文化娱乐/上市公司/2000人以上","“发展好,团队优秀，空间大，领导好”","/视频/"
"104","图像处理软件开发工程师","重庆·渝北区","8k-15k","经验1-3年/本科","09:58发布","天量","移动互联网,其他/未融资/少于15人","“opencv 图像处理 机器视觉 AI”","/算法/计算机视觉/深度学习/"
"105","图像处理工程师","杭州·三墩","15K-25K","经验不限/本科","2019-02-26","展拓视觉","移动互联网/未融资/15-50人","“五险一金，定期体检，弹性工作”","/机器学习/算法/"
"106","资深图像算法研究员","北京·亦庄","20k-40k","经验5-10年/硕士","09:05发布","BOE","移动互联网,医疗健康/上市公司/2000人以上","“医工融合、图像算法、机器学习、大平台”","/机器学习/图像处理/计算机视觉/"
"107","应届 图像工程师（调试/机器视觉/算法）","宁波·鄞州区","7k-14k","经验应届毕业生/本科","2019-03-13","TCL通讯科技控股有限公司","移动互联网,硬件/上市公司/2000人以上","“大平台 双休 弹性工作时间”","/图像处理/深度学习/计算机视觉/"
"108","人工智能算法专家-图像方向-P7-集团安全部-阿里","北京·朝阳区","25k-50k","经验3-5年/本科","1天前发布","蚂蚁金服集团","金融,移动互联网/B轮/2000人以上","“顶尖团队,精英云集,成长空间大,晋升快”","/机器学习/图像处理/模式识别/"
"109","深度学习算法工程师-图像/语音","深圳·福田区","30k-60k","经验3-5年/硕士","14:26发布","前海无极","移动互联网/未融资/15-50人","“深圳/上海,深度学习,计算机视觉,语音识别”","/移动互联网/"
"110","图像算法工程师-L00855","北京·大兴区","20k-40k","经验3-5年/硕士","09:18发布","京东数字科技","金融/上市公司/2000人以上","“班车,餐补”","/供应链金融/消费金融/众筹业务/支付业务/"
"111","视频图像处理（OpenGL）工程师","南京·栖霞区","10k-20k","经验不限/不限","2天前发布","地平线机器人","移动互联网,硬件/B轮/500-2000人","“明星公司,福利多多,弹性工时,人工智能”","/软件开发/"
"112","图像处理软件工程师","北京·大红门","13k-25k","经验1年以下/本科","2019-03-12","北京博视智动","信息安全,数据服务/未融资/15-50人","“待遇高,福利好,出差补贴,五险一金”","/MFC/C++/"
"113","算法高级工程师 深度学习/图像方向","北京·海淀区","30k-45k","经验1-3年/硕士","2天前发布","亿阳信通","移动互联网,数据服务/上市公司/2000人以上","“七险一金”","/机器学习/图像处理/人工智能/"
"114","资深图像算法工程师","深圳·白石洲","15k-25k","经验1-3年/硕士","1天前发布","深圳市德迅大数据技术有限公司","移动互联网,数据服务/不需要融资/15-50人","“AI研究,偏平管理,团队氛围好”","/人工智能/机器学习/图像处理/模式识别/"
"115","图像处理与模式识别","北京·朝外","15k-24k","经验不限/硕士","2019-03-12","安讯达盛","医疗健康数据服务/未融资/15-50人","“节日福利，高温补贴，绩效奖金，包吃”","/医疗健康/大数据/人工智能/"
"116","算法工程师-图像处理方向（实习生）","武汉·东湖新技术开发区","4k-5k","经验应届毕业生/本科","2天前发布","找道科技","移动互联网教育/未融资/15-50人","“餐补”","/人工智能/深度学习/"
"117","图像算法经理","广州·越秀区","25k-40k","经验3-5年/硕士","2019-03-12","筷子科技","数据服务,广告营销/B轮/50-150人","“人工智能,产品创新,公司发展快,平台潜力大”","/电商/广告营销/人工智能/机器学习/深度学习/图像处理/"
"118","图像处理实习生","上海·闵行区","4k-8k","经验应届毕业生/本科","1天前发布","硅瞳智能","人工智能/未融资/少于15人","“参与一个完整的项目是提升自己最好机会！”","/人工智能/机器学习/算法/"
"119","图像处理工程师（视频直播）","北京·望京","25k-50k","经验3-5年/大专","2天前发布","陌陌","社交网络/上市公司/500-2000人","“核心部门”","/视频/"
"120","图形图像算法工程师","上海·黄浦区","25k-45k","经验3-5年/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“六险一金，高薪期权，弹性工作，餐补，租房补贴，带薪休假，休闲下午茶，扁平管理，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资”","/视频/"
