"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"137","自然语言处理研究员","上海·古北","20k-40k","经验1-3年/本科","2天前发布","拼多多","电子商务,移动互联网/上市公司/2000人以上","“提供宿舍，午餐晚餐，薪资优厚”","/电商/NLP/算法/搜索/数据挖掘/"
"138","NLP研发工程师","深圳·深圳湾","25k-50k","经验1-3年/硕士","10:48发布","竹间智能科技(上海)有限公司","移动互联网,其他/B轮/150-500人","“扁平化管理,弹性工作”","/人工智能/"
"139","NLP研发工程师（实习）","北京·西三旗","2k-4k","经验1年以下/本科","17:26发布","标贝科技","移动互联网,数据服务/A轮/50-150人","“年底双薪 弹性工作 七险一金 绩效奖金”","/大数据/人工智能/机器学习/深度学习/语音合成/"
"140","NLP工程师-00227","北京·五道口","15k-20k","经验3-5年/本科","2019-03-11","紫光云","移动互联网,数据服务/不需要融资/500-2000人","“五险一金，带薪年假，节日福利，内部培训”","/云计算/大数据/人工智能/机器学习/深度学习/"
"141","自然语言处理工程师","北京·望京","20k-40k","经验1-3年/不限","2019-02-28","达闼科技","移动互联网/B轮/500-2000人","“行业前景好,公司潜力大,发展空间大,福利待遇佳”","/人工智能/NLP/算法/"
"142","nlp开发工程师","南京·江宁区","12k-18k","经验3-5年/本科","18:00发布","柯基数据","数据服务/天使轮/15-50人","“知识图谱,机器学习,大牛带队,场景落地”","/人工智能/机器学习/算法/"
"143","自然语言处理工程师","北京·上地","15k-30k","经验1-3年/本科","2019-03-01","云孚科技","企业服务,移动互联网/不需要融资/15-50人","“大牛直接带,高速成长,做最好技术”","/人工智能/NLP/算法/"
"144","自然语言处理实习生","北京·望京","4k-5k","经验应届毕业生/不限","2天前发布","陌陌","社交网络/上市公司/500-2000人","“技术大牛,团队氛围好”","/机器学习/NLP/算法/"
"145","nlp自然语言处理","北京·上地","15k-30k","经验3-5年/本科","13:20发布","朗播","教育/B轮/150-500人","“五险一金、免费健身、带薪年假、股票期权”","/机器学习/深度学习/"
"146","美团外卖-自然语言处理工程师","北京·""""","25k-50k","经验3-5年/本科","2019-03-15","美团点评","移动互联网,O2O/上市公司/2000人以上","“绩效奖金，班车”","/NLP/"
"147","NLP自然语言处理工程师","上海·镇宁路","18k-36k","经验1-3年/本科","2019-03-07","虎博科技","移动互联网,金融/A轮/50-150人","“硅谷大牛,股权激励,绩效奖金,极客氛围”","/人工智能/机器学习/算法/"
"148","资深自然语言处理工程师-上海徐汇-01628","杭州·仓前","23k-45k","经验3-5年/本科","13:44发布","同盾科技","信息安全,数据服务/C轮/500-2000人","“双休 五险一金”","/后端/"
"149","自然语言处理(NLP)主管","杭州·西溪","30k-60k","经验5-10年/本科","2019-03-08","涂鸦智能","移动互联网,硬件/C轮/500-2000人","“氛围好,定期体检,团建”","/智能硬件/移动互联网/人工智能/算法/"
"150","资深自然语言处理工程师","上海·北京西路","25k-50k","经验5-10年/本科","10:27发布","Gridsum 国双","数据服务,企业服务/上市公司/500-2000人","“六险一金、弹性工作、奖金丰厚、技术牛人多”","/NLP/算法/"
"151","NLP研发工程师","北京·西北旺","25k-50k","经验不限/硕士","10:48发布","竹间智能科技(上海)有限公司","移动互联网,其他/B轮/150-500人","“空间大,待遇好,牛人多,老板酷”","/人工智能/机器学习/深度学习/"
"152","自然语言处理高级工程师","北京·西三旗","35k-70k","经验5-10年/硕士","14:36发布","Rokid","电子商务,移动互联网/B轮/150-500人","“博士云集,期权,补充医疗险”","/人工智能/机器学习/NLP/模式识别/"
"153","自然语言处理专家-杭州-00145","杭州·仓前","35k-50k","经验3-5年/本科","13:44发布","同盾科技","信息安全,数据服务/C轮/500-2000人","“技术大牛 弹性工作 全员mac”","/技能培训/股票期权/绩效奖金/岗位晋升/"
"154","47215E-高级自然语言处理工程师","深圳·南山区","20k-40k","经验1-3年/硕士","00:00发布","平安智慧城","移动互联网/不需要融资/2000人以上","“五险一金,带薪年假,节日福利,定期体检”","/其他/Java/数据挖掘/"
"155","NLP（自然语言处理） leader","北京·学院路","30k-60k","经验不限/本科","2019-03-10","阿博茨科技","移动互联网/B轮/150-500人","“核心部门,发展空间大,加班补助,免费午餐”","/人工智能/机器学习/算法/"
"156","自然语言处理工程师","北京·上地","15k-30k","经验3-5年/本科","13:20发布","朗播","教育/B轮/150-500人","“免费健身,五险一金,股票期权,带薪年假”","/机器学习/算法/"
"157","自然语言处理工程师实习生（可转正）","北京·海淀区","5k-8k","经验不限/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“免费三餐，租房补贴，扁平管理，晋升空间”","/NLP/"
"158","NLP开发工程师","郑州·中原区","7k-13k","经验3-5年/本科","2019-03-11","大河网","文化娱乐/不需要融资/150-500人","“双休,五险,带薪年假”","/大数据/Java/"
"159","nlp算法","上海·龙柏","25k-50k","经验1-3年/本科","17:40发布","天天拍车","移动互联网,电子商务/B轮/500-2000人","“五险一金，发展空间大，带薪年假，免费班车”","/机器学习/深度学习/"
"160","NLP高级工程师","广州·越秀区","25k-35k","经验3-5年/硕士","17:33发布","筷子科技","数据服务,广告营销/B轮/50-150人","“有技术挑战,成长空间大,氛围好,扁平化管理”","/广告营销/移动互联网/人工智能/算法/"
"161","NLP算法","北京·中关村","20k-40k","经验1-3年/硕士","09:47发布","深睿医疗","移动互联网,医疗健康/B轮/150-500人","“大牛,人性化管理,靠谱团队,技术氛围好”","/数据挖掘/"
"162","高级NLP自然语言处理工程师","北京·海淀区","35k-70k","经验3-5年/硕士","09:10发布","鼎阅传媒","移动互联网/不需要融资/150-500人","“文本处理,自然语言处,NLP”","/人工智能/算法/"
"163","自然语言处理研发工程师","上海·长征","18k-36k","经验1-3年/本科","2019-03-07","饿了么","移动互联网/D轮及以上/2000人以上","“发展平台好 薪资open 环境nice 技术氛围浓”","/大数据/Java/Python/数据挖掘/"
"164","高级NLP工程师","上海·漕河泾","30k-40k","经验3-5年/本科","1天前发布","数旦信息","移动互联网,金融/A轮/15-50人","“丰厚期权, 丰厚奖金,高成长,金融科技”","/深度学习/算法/建模/"
"165","NLP高级工程师","武汉·洪山区","15k-25k","经验3-5年/本科","1天前发布","灯塔财经","移动互联网,金融/不需要融资/50-150人","“薪酬福利好发展空间好文化氛围好人性化制度”","/数据挖掘/数据架构/"
"166","自然语言处理专家","上海·田林","20k以上","经验不限/硕士","10:48发布","竹间智能科技(上海)有限公司","移动互联网,其他/B轮/150-500人","“期权激励 弹性工作 发展空间大”","/机器学习/NLP/算法/"
"167","NLP实习生","北京·学院路","4k-7k","经验不限/本科","2019-03-10","阿博茨科技","移动互联网/B轮/150-500人","“互联网,大牛云集”","/五天工作制/带薪假期/健康午餐/体育课/"
"168","自然语言（NLP）资深工程师/专家","北京·中关村","35k-70k","经验3-5年/硕士","19:08发布","Soul App","社交网络,文化娱乐/C轮/150-500人","“五险一金 下午茶 扁平化管理”","/算法/"
"169","NLP自然语言处理","北京·北京大学","30k-60k","经验3-5年/硕士","2天前发布","好未来","移动互联网,教育/上市公司/2000人以上","“行业领先 优秀团队 行业大牛 零食水果”","/算法/机器学习/人工智能/"
"170","NLP高级工程师","上海·长宁区","25k-50k","经验3-5年/本科","2天前发布","拼多多","电子商务,移动互联网/上市公司/2000人以上","“平台好、牛人多、薪资给力”","/算法/"
"171","自然语言处理资深研究员","北京·三元桥","20k-35k","经验1-3年/硕士","2019-03-15","东芝(中国)有限公司","移动互联网,企业服务/上市公司/150-500人","“弹性工作、社内培训、出国机会、带薪年假”","/人工智能/NLP/深度学习/机器学习/"
"172","自然语言处理工程师/中级/高级/专家","深圳·南山区","35k-70k","经验不限/本科","2019-03-14","无秘","移动互联网,金融/B轮/150-500人","“弹性工作制,技术大咖,免费晚餐”","/人工智能/NLP/建模/深度学习/"
"173","NLP","上海·闵行区","25k-50k","经验1-3年/硕士","13:44发布","泛微","移动互联网,企业服务/上市公司/2000人以上","“发展前景好,平台大,半年调薪,福利待遇好”","/大数据/机器学习/深度学习/算法/"
"174","资深NLP研发工程师","北京·西三旗","20k-30k","经验3-5年/本科","17:26发布","标贝科技","移动互联网,数据服务/A轮/50-150人","“年底双薪 弹性工作 七险一金 绩效奖金”","/大数据/人工智能/机器学习/深度学习/"
"175","资深自然语言处理工程师-AI平台-北京-01139","北京·北太平庄","28k-45k","经验3-5年/硕士","13:44发布","同盾科技","信息安全,数据服务/C轮/500-2000人","“技术大牛,全员mac,丰厚奖金,扁平管理”","/NLP/算法/深度学习/"
"176","自然语言处理（NLP）","深圳·南山区","25k-50k","经验3-5年/本科","13:28发布","环球易购","电子商务/上市公司/2000人以上","“上市大平台,阿里大牛,丰厚年终”","/机器学习/算法/深度学习/"
"177","NLP工程师","上海·徐汇区","30k-50k","经验3-5年/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“弹性工作，免费三餐，餐补，休闲下午茶”","/扁平管理/弹性工作/大厨定制三餐/就近租房补贴/"
"178","自然语言处理算法工程师","北京·魏公村","20k-40k","经验3-5年/本科","14:55发布","智汇一品集团","电子商务移动互联网/B轮/150-500人","“集团公司，股权激励，发展前景好”","/移动互联网/大数据/模式识别/深度学习/人工智能/NLP/"
"179","自然语言处理算法工程师","北京·知春路","20k-40k","经验1-3年/本科","14:36发布","合心科技","移动互联网,教育/B轮/50-150人","“弹性工作,公司午晚餐,人工智能”","/NLP/机器学习/深度学习/"
"180","初级自然语言处理工程师","北京·西二旗","8k-16k","经验不限/本科","2019-03-01","云孚科技","企业服务,移动互联网/不需要融资/15-50人","“顶尖平台,大牛直接带,高速成长”","/人工智能/NLP/"
"181","自然语言处理专家","北京·知春路","40k-80k","经验5-10年/本科","1天前发布","好未来","移动互联网,教育/上市公司/2000人以上","“上市公司,升职空间大”","/教育/机器学习/NLP/算法/"
